date,url,year,house
1991-11-26,,1991,hofreps
1991-11-27,,1991,hofreps
1991-11-28,,1991,hofreps
1991-12-19,,1991,hofreps
1992-01-02,,1992,hofreps
1992-02-25,,1992,hofreps
1992-02-26,,1992,hofreps
1992-02-27,,1992,hofreps
1992-03-02,,1992,hofreps
1992-03-03,,1992,hofreps
1992-03-04,,1992,hofreps
1992-03-05,,1992,hofreps
1992-03-24,,1992,hofreps
1992-03-25,,1992,hofreps
1992-03-26,,1992,hofreps
1992-03-30,,1992,hofreps
1992-03-31,,1992,hofreps
1992-04-01,,1992,hofreps
1992-04-02,,1992,hofreps
1992-04-28,,1992,hofreps
1992-04-29,,1992,hofreps
1992-04-30,,1992,hofreps
1992-05-04,,1992,hofreps
1992-05-05,,1992,hofreps
1992-05-06,,1992,hofreps
1992-05-07,,1992,hofreps
1992-05-26,,1992,hofreps
1992-05-27,,1992,hofreps
1992-05-28,,1992,hofreps
1992-06-01,,1992,hofreps
1992-06-02,,1992,hofreps
1992-06-03,,1992,hofreps
1992-06-04,,1992,hofreps
1992-06-24,,1992,hofreps
1992-06-25,,1992,hofreps
1992-08-18,,1992,hofreps
1992-08-19,,1992,hofreps
1992-08-20,,1992,hofreps
1992-09-08,,1992,hofreps
1992-09-09,,1992,hofreps
1992-09-10,,1992,hofreps
1992-09-14,,1992,hofreps
1992-09-15,,1992,hofreps
1992-09-16,,1992,hofreps
1992-09-17,,1992,hofreps
1992-10-06,,1992,hofreps
1992-10-07,,1992,hofreps
1992-10-08,,1992,hofreps
1992-10-12,,1992,hofreps
1992-10-13,,1992,hofreps
1992-10-14,,1992,hofreps
1992-10-15,,1992,hofreps
1992-11-03,,1992,hofreps
1992-11-04,,1992,hofreps
1992-11-05,,1992,hofreps
1992-11-09,,1992,hofreps
1992-11-10,,1992,hofreps
1992-11-11,,1992,hofreps
1992-11-12,,1992,hofreps
1992-11-24,,1992,hofreps
1992-11-25,,1992,hofreps
1992-11-26,,1992,hofreps
1992-12-16,,1992,hofreps
1992-12-17,,1992,hofreps
1993-05-04,,1993,hofreps
1993-05-05,,1993,hofreps
1993-05-06,,1993,hofreps
1993-05-10,,1993,hofreps
1993-05-11,,1993,hofreps
1993-05-12,,1993,hofreps
1993-05-13,,1993,hofreps
1993-05-26,,1993,hofreps
1993-05-27,,1993,hofreps
1993-08-17,,1993,hofreps
1993-08-18,,1993,hofreps
1993-08-19,,1993,hofreps
1993-08-30,,1993,hofreps
1993-08-31,,1993,hofreps
1993-09-01,,1993,hofreps
1993-09-02,,1993,hofreps
1993-09-06,,1993,hofreps
1993-09-07,,1993,hofreps
1993-09-27,,1993,hofreps
1993-09-28,,1993,hofreps
1993-09-29,,1993,hofreps
1993-09-30,,1993,hofreps
1993-10-05,,1993,hofreps
1993-10-06,,1993,hofreps
1993-10-07,,1993,hofreps
1993-10-18,,1993,hofreps
1993-10-19,,1993,hofreps
1993-10-20,,1993,hofreps
1993-10-21,,1993,hofreps
1993-10-26,,1993,hofreps
1993-10-27,,1993,hofreps
1993-10-28,,1993,hofreps
1993-11-16,,1993,hofreps
1993-11-17,,1993,hofreps
1993-11-18,,1993,hofreps
1993-11-22,,1993,hofreps
1993-11-23,,1993,hofreps
1993-11-24,,1993,hofreps
1993-11-25,,1993,hofreps
1993-12-13,,1993,hofreps
1993-12-14,,1993,hofreps
1993-12-15,,1993,hofreps
1993-12-16,,1993,hofreps
1993-12-17,,1993,hofreps
1993-12-18,,1993,hofreps
1993-12-21,,1993,hofreps
1993-12-22,,1993,hofreps
1994-02-01,,1994,hofreps
1994-02-02,,1994,hofreps
1994-02-03,,1994,hofreps
1994-02-07,,1994,hofreps
1994-02-08,,1994,hofreps
1994-02-09,,1994,hofreps
1994-02-10,,1994,hofreps
1994-02-21,,1994,hofreps
1994-02-22,,1994,hofreps
1994-02-23,,1994,hofreps
1994-02-24,,1994,hofreps
1994-02-28,,1994,hofreps
1994-03-01,,1994,hofreps
1994-03-02,,1994,hofreps
1994-03-03,,1994,hofreps
1994-03-22,,1994,hofreps
1994-03-23,,1994,hofreps
1994-03-24,,1994,hofreps
1994-05-03,,1994,hofreps
1994-05-04,,1994,hofreps
1994-05-05,,1994,hofreps
1994-05-09,,1994,hofreps
1994-05-10,,1994,hofreps
1994-05-11,,1994,hofreps
1994-05-12,,1994,hofreps
1994-05-30,,1994,hofreps
1994-05-31,,1994,hofreps
1994-06-01,,1994,hofreps
1994-06-02,,1994,hofreps
1994-06-06,,1994,hofreps
1994-06-07,,1994,hofreps
1994-06-08,,1994,hofreps
1994-06-09,,1994,hofreps
1994-06-27,,1994,hofreps
1994-06-28,,1994,hofreps
1994-06-29,,1994,hofreps
1994-06-30,,1994,hofreps
1994-08-23,,1994,hofreps
1994-08-24,,1994,hofreps
1994-08-25,,1994,hofreps
1994-08-29,,1994,hofreps
1994-08-30,,1994,hofreps
1994-08-31,,1994,hofreps
1994-09-01,,1994,hofreps
1994-09-19,,1994,hofreps
1994-09-20,,1994,hofreps
1994-09-21,,1994,hofreps
1994-09-22,,1994,hofreps
1994-10-10,,1994,hofreps
1994-10-11,,1994,hofreps
1994-10-12,,1994,hofreps
1994-10-13,,1994,hofreps
1994-10-17,,1994,hofreps
1994-10-18,,1994,hofreps
1994-10-19,,1994,hofreps
1994-10-20,,1994,hofreps
1994-11-07,,1994,hofreps
1994-11-08,,1994,hofreps
1994-11-09,,1994,hofreps
1994-11-10,,1994,hofreps
1994-11-14,,1994,hofreps
1994-11-15,,1994,hofreps
1994-11-16,,1994,hofreps
1994-11-17,,1994,hofreps
1994-12-05,,1994,hofreps
1994-12-06,,1994,hofreps
1994-12-07,,1994,hofreps
1994-12-08,,1994,hofreps
1994-12-09,,1994,hofreps
1995-01-31,,1995,hofreps
1995-02-01,,1995,hofreps
1995-02-02,,1995,hofreps
1995-02-06,,1995,hofreps
1995-02-07,,1995,hofreps
1995-02-08,,1995,hofreps
1995-02-09,,1995,hofreps
1995-02-27,,1995,hofreps
1995-02-28,,1995,hofreps
1995-03-01,,1995,hofreps
1995-03-02,,1995,hofreps
1995-03-06,,1995,hofreps
1995-03-07,,1995,hofreps
1995-03-08,,1995,hofreps
1995-03-09,,1995,hofreps
1995-03-27,,1995,hofreps
1995-03-28,,1995,hofreps
1995-03-29,,1995,hofreps
1995-03-30,,1995,hofreps
1995-05-09,,1995,hofreps
1995-05-10,,1995,hofreps
1995-05-11,,1995,hofreps
1995-05-29,,1995,hofreps
1995-05-30,,1995,hofreps
1995-05-31,,1995,hofreps
1995-06-01,,1995,hofreps
1995-06-05,,1995,hofreps
1995-06-06,,1995,hofreps
1995-06-07,,1995,hofreps
1995-06-08,,1995,hofreps
1995-06-19,,1995,hofreps
1995-06-20,,1995,hofreps
1995-06-21,,1995,hofreps
1995-06-22,,1995,hofreps
